CustomerID,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,IsFraud,FraudRiskScore,FraudLabel,NetCashFlow
425,TX000001,AC00128,14.09,4/11/23 4:29 PM,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,0,30.2,Legitimate,-14.09
292,TX000002,AC00455,376.24,6/27/23 4:44 PM,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,0,21.9,Legitimate,-376.24
516,TX000003,AC00019,126.29,7/10/23 6:16 PM,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,0,33.7,Legitimate,-126.29
434,TX000004,AC00070,184.5,5/5/23 4:32 PM,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,0,37.9,Legitimate,-184.5
793,TX000005,AC00411,13.45,10/16/23 5:51 PM,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,0,14.1,Legitimate,13.45
39,TX000006,AC00393,92.15,4/3/23 5:15 PM,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,0,17.7,Legitimate,-92.15
151,TX000007,AC00199,7.08,2/15/23 4:36 PM,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,0,22.2,Legitimate,7.08
934,TX000008,AC00069,171.42,5/8/23 5:47 PM,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,0,1.2,Legitimate,171.42
282,TX000009,AC00135,106.23,3/21/23 4:59 PM,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,0,29.5,Legitimate,106.23
858,TX000010,AC00385,815.96,3/31/23 4:06 PM,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,0,24.8,Legitimate,-815.96
696,TX000011,AC00150,17.78,3/14/23 4:46 PM,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,0,33.2,Legitimate,17.78
922,TX000012,AC00459,190.02,2/6/23 5:30 PM,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,0,17.5,Legitimate,-190.02
335,TX000013,AC00392,494.52,6/7/23 5:21 PM,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,0,26.1,Legitimate,494.52
536,TX000014,AC00264,781.76,11/20/23 4:39 PM,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,0,24.4,Legitimate,-781.76
163,TX000015,AC00085,166.99,2/13/23 4:53 PM,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,0,22.9,Legitimate,-166.99
418,TX000016,AC00270,465.45,12/12/23 4:23 PM,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,0,23.6,Legitimate,-465.45
837,TX000017,AC00317,555.8,10/30/23 4:52 PM,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,0,19.6,Legitimate,555.8
569,TX000018,AC00359,492.93,12/14/23 6:32 PM,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,0,9.1,Legitimate,-492.93
728,TX000019,AC00242,18.68,2/21/23 4:56 PM,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,0,26.8,Legitimate,18.68
857,TX000020,AC00285,71.48,6/8/23 6:18 PM,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,0,18.1,Legitimate,71.48
809,TX000021,AC00002,59.32,2/28/23 4:36 PM,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,0,36.1,Legitimate,-59.32
310,TX000022,AC00014,85.77,8/11/23 6:31 PM,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,0,28.6,Legitimate,-85.77
197,TX000023,AC00095,52.2,6/6/23 6:54 PM,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,0,24.8,Legitimate,-52.2
499,TX000024,AC00453,345.84,5/2/23 6:25 PM,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,0,51.8,Legitimate,-345.84
293,TX000025,AC00241,145.54,3/2/23 4:43 PM,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,0,28.1,Legitimate,-145.54
155,TX000026,AC00041,7.49,10/20/23 5:53 PM,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,0,3.3,Legitimate,7.49
53,TX000027,AC00441,246.93,4/17/23 4:37 PM,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,1,79.6,Suspected Fraud,-246.93
35,TX000028,AC00057,40.32,3/29/23 4:42 PM,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,0,28.3,Legitimate,-40.32
606,TX000029,AC00390,127.45,1/24/23 4:18 PM,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,0,14.2,Legitimate,-127.45
858,TX000030,AC00313,56.17,9/20/23 4:55 PM,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,0,2.3,Legitimate,-56.17
541,TX000031,AC00367,28.31,7/17/23 5:49 PM,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,0,38.6,Legitimate,28.31
278,TX000032,AC00291,59.12,2/6/23 4:24 PM,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,0,5.9,Legitimate,-59.12
976,TX000033,AC00060,396.45,9/25/23 4:26 PM,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,0,48.2,Legitimate,-396.45
236,TX000034,AC00359,877.81,3/13/23 5:23 PM,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,0,20.7,Legitimate,-877.81
191,TX000035,AC00365,255.26,10/27/23 4:42 PM,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,0,34.5,Legitimate,255.26
19,TX000036,AC00267,124.76,10/16/23 4:32 PM,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,0,35.2,Legitimate,-124.76
961,TX000037,AC00404,78.13,11/21/23 4:58 PM,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,0,21.4,Legitimate,-78.13
498,TX000038,AC00202,649.28,3/2/23 5:53 PM,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,0,22.5,Legitimate,-649.28
487,TX000039,AC00478,795.31,10/12/23 5:07 PM,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,0,44.0,Legitimate,-795.31
732,TX000040,AC00405,335.63,1/24/23 5:17 PM,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,0,11.6,Legitimate,-335.63
697,TX000041,AC00421,328.47,7/31/23 6:39 PM,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,0,25.0,Legitimate,-328.47
960,TX000042,AC00480,34.02,1/9/23 4:13 PM,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,0,38.8,Legitimate,-34.02
54,TX000043,AC00120,241.42,4/20/23 6:57 PM,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,0,25.4,Legitimate,241.42
304,TX000044,AC00117,55.32,4/12/23 4:03 PM,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,0,25.2,Legitimate,-55.32
113,TX000045,AC00011,304.31,7/26/23 4:52 PM,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,0,36.8,Legitimate,-304.31
683,TX000046,AC00401,435.27,10/4/23 5:49 PM,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,0,29.0,Legitimate,-435.27
149,TX000047,AC00282,164.49,12/13/23 4:01 PM,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,0,31.0,Legitimate,-164.49
267,TX000048,AC00439,510.24,10/9/23 4:29 PM,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,0,26.9,Legitimate,-510.24
669,TX000049,AC00296,626.9,11/27/23 4:45 PM,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,0,22.3,Legitimate,-626.9
785,TX000050,AC00471,22.01,3/27/23 4:45 PM,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,0,17.2,Legitimate,22.01
633,TX000051,AC00159,425.34,2/13/23 4:59 PM,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,0,24.7,Legitimate,425.34
275,TX000052,AC00482,424.56,2/21/23 5:45 PM,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,0,5.0,Legitimate,-424.56
747,TX000053,AC00115,85.43,6/7/23 4:45 PM,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,0,21.4,Legitimate,-85.43
248,TX000054,AC00055,169.5,9/7/23 4:51 PM,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,0,21.8,Legitimate,-169.5
110,TX000055,AC00419,104.63,3/29/23 5:47 PM,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,0,29.0,Legitimate,-104.63
343,TX000056,AC00374,316.95,8/4/23 5:53 PM,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,0,29.9,Legitimate,-316.95
336,TX000057,AC00271,60.54,12/14/23 5:52 PM,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,0,34.2,Legitimate,60.54
52,TX000058,AC00456,292.56,3/3/23 5:37 PM,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,0,33.0,Legitimate,292.56
33,TX000059,AC00143,386.52,6/9/23 4:18 PM,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,0,37.5,Legitimate,-386.52
30,TX000060,AC00427,112.07,10/2/23 4:35 PM,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,0,34.3,Legitimate,-112.07
887,TX000061,AC00438,568.52,10/6/23 6:44 PM,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,0,20.4,Legitimate,-568.52
861,TX000062,AC00002,263.99,5/16/23 4:07 PM,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,0,25.1,Legitimate,-263.99
396,TX000063,AC00425,349.64,11/7/23 4:48 PM,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,0,10.2,Legitimate,-349.64
436,TX000064,AC00325,601.4,5/30/23 5:43 PM,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,0,27.0,Legitimate,601.4
711,TX000065,AC00434,5.77,11/2/23 4:01 PM,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,0,24.3,Legitimate,-5.77
123,TX000066,AC00242,201.33,3/29/23 5:00 PM,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,0,15.7,Legitimate,201.33
4,TX000067,AC00319,298.42,4/25/23 4:11 PM,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,0,10.3,Legitimate,-298.42
565,TX000068,AC00460,521.06,4/18/23 6:40 PM,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,0,23.7,Legitimate,-521.06
975,TX000069,AC00461,117.28,2/9/23 4:34 PM,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,0,39.2,Legitimate,117.28
294,TX000070,AC00395,189.12,11/13/23 4:42 PM,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,0,27.2,Legitimate,189.12
337,TX000071,AC00217,133.55,7/18/23 4:12 PM,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,0,11.0,Legitimate,-133.55
536,TX000072,AC00053,143.21,1/13/23 5:00 PM,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,0,22.8,Legitimate,-143.21
776,TX000073,AC00282,24.77,7/4/23 6:20 PM,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,0,33.8,Legitimate,-24.77
922,TX000074,AC00110,233.92,10/20/23 4:54 PM,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,0,2.8,Legitimate,233.92
