CustomerID,TotalTransactions,TotalSpent,MinBalance,MaxBalance,AvgTransaction,TotalReceived_Credit,TotalSpent_Debit,TransactionCount_Channel_ATM,TransactionCount_Channel_Branch,TransactionCount_Channel_BankOnline
1,43.0,15711.32,300.87,14563.02,365.3795349,3130.76,12580.56,14.0,15.0,14.0
2,62.0,17641.43,354.9,14489.69,284.5391935,4988.88,12652.55,17.0,23.0,22.0
3,45.0,15111.33,300.87,14410.44,335.8073333,5192.51,9918.82,14.0,18.0,13.0
4,58.0,15293.96,349.98,14852.42,263.6889655,3104.46,12189.5,20.0,20.0,18.0
5,59.0,15169.02,160.83,14942.78,257.1020339,3490.49,11678.53,21.0,18.0,20.0
6,48.0,13542.41,289.71,14348.65,282.1335417,2535.28,11007.13,17.0,14.0,17.0
7,62.0,19799.53,207.74,12799.34,319.3472581,6529.26,13270.27,19.0,23.0,20.0
8,56.0,17680.83,117.98,14321.73,315.7291071,3727.73,13953.1,21.0,25.0,10.0
9,59.0,19267.22,130.76,14935.5,326.5630508,3887.79,15379.43,14.0,19.0,26.0
10,60.0,17904.99,221.56,14851.28,298.4165,4570.51,13334.48,24.0,17.0,19.0
11,53.0,16686.69,259.77,12148.32,314.8432075,6588.49,10098.2,18.0,18.0,17.0
12,42.0,12564.51,167.28,13330.74,299.155,2194.29,10370.22,20.0,11.0,11.0
13,49.0,17239.17,162.53,14881.77,351.8197959,5108.29,12130.88,18.0,10.0,21.0
14,40.0,11820.88,414.43,14676.05,295.522,637.21,11183.67,15.0,17.0,8.0
15,42.0,12132.55,123.24,14563.02,288.8702381,3212.58,8919.97,16.0,12.0,14.0
16,39.0,13036.93,160.57,13586.99,334.2802564,2377.08,10659.85,13.0,15.0,11.0
17,54.0,15101.28,185.87,14804.7,279.6533333,2531.34,12569.94,18.0,13.0,23.0
18,65.0,17937.6,123.24,14829.85,275.9630769,2857.18,15080.42,23.0,23.0,19.0
19,37.0,9997.3,409.26,14510.8,270.1972973,1347.08,8650.22,9.0,16.0,12.0
20,51.0,13797.61,160.83,14510.8,270.5413725,5729.59,8068.02,12.0,18.0,21.0
21,55.0,14572.38,160.57,14833.34,264.9523636,6091.35,8481.03,17.0,24.0,14.0
22,49.0,15881.19,293.06,13704.92,324.1059184,4620.13,11261.06,16.0,16.0,17.0
23,46.0,11233.51,167.72,14352.33,244.2067391,1387.27,9846.24,14.0,18.0,14.0
24,57.0,19280.26,533.2,13899.24,338.2501754,4914.67,14365.59,26.0,12.0,19.0
25,34.0,8525.2,339.16,14494.18,250.7411765,497.23,8027.97,14.0,8.0,12.0
26,49.0,17646.65,101.25,13542.41,360.1357143,2571.64,15075.01,15.0,17.0,17.0
27,55.0,16918.68,193.8,13625.52,307.6123636,2468.77,14449.91,20.0,18.0,17.0
28,62.0,17752.27,225.53,14489.69,286.3269355,3115.15,14637.12,19.0,27.0,16.0
29,50.0,14709.4,213.36,13988.12,294.188,4019.78,10689.62,15.0,20.0,15.0
30,48.0,14686.22,136.77,13485.0,305.9629167,4809.8,9876.42,18.0,13.0,17.0
31,57.0,13662.99,102.2,14365.18,239.7015789,3121.75,10541.24,18.0,26.0,13.0
32,52.0,16566.81,112.76,13777.1,318.5925,5110.72,11456.09,16.0,20.0,16.0
33,67.0,19176.51,477.3,13645.63,286.2165672,5716.71,13459.8,20.0,26.0,21.0
34,51.0,14563.06,160.57,14851.28,285.5501961,1660.04,12903.02,17.0,17.0,17.0
35,60.0,20099.59,135.96,14783.33,334.9931667,3906.18,16193.41,12.0,19.0,29.0
36,54.0,14971.37,120.89,14881.77,277.2475926,3243.83,11727.54,14.0,22.0,18.0
37,55.0,14162.45,287.46,14815.87,257.4990909,5403.81,8758.64,16.0,23.0,16.0
38,54.0,13000.46,129.79,14473.33,240.7492593,855.08,12145.38,21.0,15.0,18.0
39,50.0,15193.09,269.01,14935.5,303.8618,1992.42,13200.67,20.0,16.0,14.0
40,42.0,11405.69,120.89,13510.11,271.5640476,2348.22,9057.47,12.0,16.0,14.0
41,75.0,26352.7,168.84,14783.33,351.3693333,3048.33,23304.37,25.0,21.0,29.0
42,48.0,13260.45,201.04,13265.92,276.259375,2837.15,10423.3,22.0,11.0,15.0
